what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1281040812370
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1281040812386
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1281040812387
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1281040812388
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1281040812389
os,sysinfo,,,"macosx",1281040812392
arch,sysinfo,,,"x86",1281040812392
ws,sysinfo,,,"cocoa",1281040812392
locale,sysinfo,,,"en_US",1281040812392
processors,sysinfo,,,"2",1281040812392
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1281040812392
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1281040812392
java.specification.name,sysinfo,,,"Java Platform API Specification",1281040812392
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281040812392
java.specification.version,sysinfo,,,"1.6",1281040812392
java.vendor,sysinfo,,,"Apple Inc.",1281040812392
java.version,sysinfo,,,"1.6.0_20",1281040812392
java.vm.info,sysinfo,,,"mixed mode",1281040812392
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1281040812392
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1281040812392
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281040812392
java.vm.specification.version,sysinfo,,,"1.0",1281040812392
java.vm.vendor,sysinfo,,,"Apple Inc.",1281040812392
java.vm.version,sysinfo,,,"16.3-b01-279",1281040812392
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281040882281
activated,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1281040882289
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1281040882324
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1281040887898
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1281040888059
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1281040888072
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1281040895588
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281040898617
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281040926834
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1281040926863
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1281040926864
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281040931365
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281040944857
started,bundle,org.python.pydev.core,1.5.4.2010011921,"org.python.pydev.core",1281040945655
started,bundle,org.python.pydev.debug,1.5.4.2010011921,"org.python.pydev.debug",1281040945656
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281040949324
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281040955980
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.edit.text.openLocalFile",1281040955984
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281040961022
